schema_version,catalog,run_index,run_seed,target_index,gate_abort_ordinal,closing_speed_m_per_s,dv_remaining_at_abort_m_per_s,r0_x_m,r0_y_m,r0_z_m,v0_x_m_per_s,v0_y_m_per_s,v0_z_m_per_s,initial_range_m,corridor_deviation_m,abort_dv_x_m_per_s,abort_dv_y_m_per_s,abort_dv_z_m_per_s,abort_dv_mag_uncapped_m_per_s,abort_dv_cap_m_per_s,capped,post_burn_drift_m_per_s,coast_min_range_m,coast_min_time_s,analytic_ellipse_min_range_m,keep_out_radius_m,classification
1.0,SL-16 / Zenit-2 second stage,65,4218636116879348243,3,1,0.18761,35.0000,-109.2047,-390.9569,47.6195,0.053575,0.002560,-0.004322,408.7060,119.4783,-0.053575,0.222295,0.004322,0.228700,2.0,false,0.000000000,172.5483,1528.0,172.5475,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-16 / Zenit-2 second stage,81,7864597222031823188,0,1,0.16685,128.0000,-62.6103,-295.8113,3.2022,-0.015877,-0.010833,0.008057,302.3816,121.5960,0.015877,0.139749,-0.008057,0.140879,2.0,false,0.000000000,170.5911,1528.0,170.5907,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-16 / Zenit-2 second stage,86,5487207542905606544,1,2,0.16719,101.0000,88.9285,-377.7154,-36.4953,-0.033824,0.021650,-0.010427,389.7552,98.6752,0.033824,-0.204756,0.010427,0.207792,2.0,false,0.000000000,199.8585,4576.0,199.8583,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-16 / Zenit-2 second stage,112,4869064356932913602,3,2,0.17988,39.0000,103.1442,-403.3742,-17.1617,-0.005783,-0.001262,-0.006628,416.7061,104.6166,0.005783,-0.211115,0.006628,0.211298,2.0,false,0.000000000,197.0860,4576.0,197.0858,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-16 / Zenit-2 second stage,340,6143729322837638836,1,1,0.21790,97.0000,142.3706,-444.1451,39.5522,0.014951,-0.009629,0.020602,468.0797,154.2159,-0.014951,-0.283516,-0.020602,0.284656,2.0,false,0.000000000,159.4043,4576.0,159.4040,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-16 / Zenit-2 second stage,460,4116084491419966480,0,1,0.15337,128.0000,-80.9837,-340.0491,-30.4610,-0.019190,-0.032109,0.028635,350.8840,105.2632,0.019190,0.198856,-0.028635,0.201822,2.0,false,0.000000000,178.0823,1528.0,178.0817,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-16 / Zenit-2 second stage,490,9593407454170776422,1,1,0.17140,97.0000,-136.5058,-403.0482,31.5876,0.000136,-0.023902,-0.020074,426.7077,140.1459,-0.000136,0.304970,0.020074,0.305630,2.0,false,0.000000000,130.0378,1528.0,130.0367,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-8 / Kosmos-3M second stage,88,7134996023016221808,0,1,0.16774,128.0000,-110.7634,-340.9315,-23.5717,0.024717,0.019986,-0.001310,359.2470,127.7233,-0.024717,0.212411,0.001310,0.213848,2.0,false,0.000000000,119.4051,1496.0,119.4048,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-8 / Kosmos-3M second stage,99,3795023122292842223,0,1,0.17475,128.0000,-78.3053,-281.4154,-6.6638,-0.015060,-0.001444,-0.005980,292.1828,142.2618,0.015060,0.165739,0.005980,0.166529,2.0,false,0.000000000,124.8051,1496.0,124.8049,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-8 / Kosmos-3M second stage,160,15727324899745451142,1,1,0.15286,97.0000,-126.4040,-380.8614,20.7493,-0.005108,0.007905,0.005312,401.8257,129.5175,0.005108,0.257308,-0.005312,0.257413,2.0,false,0.000000000,128.0538,1496.0,128.0534,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-8 / Kosmos-3M second stage,254,16773185611197114856,1,1,0.16586,97.0000,-136.6149,-326.4996,-67.5308,-0.014607,0.003844,-0.002598,360.3138,169.1932,0.014607,0.282794,0.002598,0.283183,2.0,false,0.000000000,53.2705,1496.0,53.2698,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-8 / Kosmos-3M second stage,362,16726336698870182498,2,2,0.16770,70.0000,-88.5700,-376.2516,125.0294,0.021529,0.000352,0.033527,406.2539,155.0515,-0.021529,0.185480,-0.033527,0.189711,2.0,false,0.000000000,199.1119,1496.0,199.1116,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-8 / Kosmos-3M second stage,383,17317969328584411858,2,1,0.17706,66.0000,-81.6652,-346.3719,39.5522,-0.010185,0.011825,0.016236,358.0602,105.4018,0.010185,0.159520,-0.016236,0.160667,2.0,false,0.000000000,183.0417,1496.0,183.0415,200.0,clean_abort_safety_ellipse_intersects_keep_out
1.0,SL-8 / Kosmos-3M second stage,419,11210276304677366744,1,1,0.16456,97.0000,107.7674,-403.6285,85.6915,-0.013524,0.015787,-0.004265,426.4655,137.7316,0.013524,-0.241898,0.004265,0.242314,2.0,false,0.000000000,188.0964,4488.0,188.0937,200.0,clean_abort_safety_ellipse_intersects_keep_out
